title,year,genre,duration
Miss Jerry,1894,Romance,45
The Story of the Kelly Gang,1906,Biography,70
Den sorte drøm,1911,Drama,53
Cleopatra,1912,Drama,100
L'Inferno,1911,Adventure,68
Jesus of Nazareth,1912,Biography,60
Madame DuBarry,1919,Biography,85
Quo Vadis?,1913,Drama,120
Independenta Romaniei,1912,History,120
Richard III,1912,Drama,55
Atlantis,1913,Drama,121
Fantômas - À l'ombre de la guillotine,1913,Crime,54
Il calvario di una madre,1913,Drama,96
Juve contre Fantômas,1913,Crime,61
Ma l'amor mio non muore...,1914,Drama,90
Maudite soit la guerre,1914,Drama,50
Le mort qui tue,1913,Crime,90
Amore di madre,1914,Drama,55
Lo studente di Praga,1913,Drama,85
Traffic in Souls,1913,Crime,88
Gli ultimi giorni di Pompei,1913,Adventure,88
Assunta Spina,1915,Drama,72
The Avenging Conscience: or 'Thou Shalt Not Kill',1914,Crime,78
The Bargain,1914,Western,70
Cabiria,1914,Adventure,148
Cinderella,1914,Fantasy,52
L'enfant de Paris,1913,Crime,124
Fantômas contre Fantômas,1914,Crime,59
A Florida Enchantment,1914,Comedy,63
Der Golem,1915,Horror,60
Det hemmelighedsfulde X,1914,Drama,84
His Majesty the Scarecrow of Oz,1914,Family,59
Hypocrites,1915,Drama,54
In the Land of the Head Hunters,1914,Drama,65
Judith of Bethulia,1914,Drama,61
The Patchwork Girl of Oz,1914,Adventure,81
The Perils of Pauline,1914,Action,199
The Squaw Man,1914,Action,74
La madonnina del porto,1914,Drama,80
Tillie's Punctured Romance,1914,Comedy,82
A tolonc,1915,Drama,67
Uncle Tom's Cabin,1914,Drama,54
The Virginian,1914,Western,55
The Wishing Ring: An Idyll of Old England,1914,Comedy,54
The Wrath of the Gods,1914,Drama,56
Alias Jimmy Valentine,1915,Crime,65
Alice in Wonderland,1915,Adventure,52
Nascita di una nazione,1915,Drama,195
Carmen,1915,Drama,59
The Cheat,1915,Drama,59
The Coward,1915,Drama,77
La vampira,1915,Drama,67
The Golden Chance,1915,Drama,74
Hævnens Nat,1916,Crime,100
The Italian,1915,Drama,72
Maciste,1915,Adventure,67
Martyrs of the Alamo,1915,Drama,71
The Nigger,1915,Drama,50
Posle smerti,1915,Drama,46
Rapsodia satanica,1917,Drama,55
La rigenerazione,1915,Biography,72
I vampiri,1915,Action,421
Young Romance,1915,Comedy,59
20000 Leagues Under the Sea,1916,Action,105
The Children in the House,1916,Drama,50
Civilization,1915,Drama,85
The Devil's Needle,1916,Drama,59
Dödskyssen,1916,Comedy,60
Flirting with Fate,1916,Adventure,57
Going Straight,1916,Crime,60
The Good Bad-Man,1916,Romance,50
Gretchen the Greenhorn,1916,Crime,58
The Half-Breed,1916,Western,73
Hell's Hinges,1916,Romance,64
His Picture in the Papers,1916,Comedy,62
Hoodoo Ann,1916,Comedy,65
Intolerance,1916,Drama,163
Judex,1916,Adventure,300
The Matrimaniac,1916,Comedy,46
Pikovaya dama,1916,Drama,63
Reggie Mixes In,1916,Action,50
The Return of Draw Egan,1916,Action,50
Schuhpalast Pinkus,1916,Comedy,45
Sherlock Holmes,1916,Mystery,116
Shoes,1916,Drama,60
Snow White,1916,Fantasy,63
The Social Secretary,1916,Comedy,52
Vingarne,1916,Drama,69
Where Are My Children?,1916,Drama,62
'49-'17,1917,Drama,61
Bucking Broadway,1917,Western,53
Cleopatra,1917,Biography,125
Furcht,1917,Horror,72
A Girl's Folly,1917,Comedy,65
L'astronave,1918,Adventure,97
Joan the Woman,1916,Adventure,138
The Little American,1917,Drama,80
The Little Princess,1917,Drama,62
Desiderata,1917,Drama,80
A Modern Musketeer,1917,Adventure,68
Otets Sergiy,1918,Biography,112
The Poor Little Rich Girl,1917,Comedy,65
Raffles the Amateur Cracksman,1917,Adventure,70
Rebecca of Sunnybrook Farm,1917,Comedy,78
A Romance of the Redwoods,1917,Adventure,91
Satana likuyushchiy,1917,Drama,87
Straight Shooting,1917,Western,57
A Tale of Two Cities,1917,Drama,70
Terje Vigen,1917,Drama,48
Thomas Graals bästa film,1917,Comedy,52
Tillie Wakes Up,1917,Comedy,48
Tom Sawyer,1917,Adventure,59
Tösen från Stormyrtorpet,1917,Drama,87
Wild and Woolly,1917,Comedy,72
Amarilly of Clothes-Line Alley,1918,Comedy,67
Az aranyember,1919,Drama,83
Gli occhi della mummia,1918,Drama,63
I proscritti,1918,Drama,136
L'uccello blu,1918,Family,75
Broadway Love,1918,Romance,60
Sangue gitano,1918,Drama,70
La decima sinfonia,1918,Drama,94
L'allegra prigione,1917,Comedy,48
The Forbidden City,1918,Drama,62
Cuori del mondo,1918,Drama,117
Indemoniato,1918,Western,50
Johanna Enlists,1918,Comedy,72
M'Liss,1918,Comedy,73
The Married Virgin,1918,Drama,71
Mickey,1918,Comedy,93
Old Wives for New,1918,Drama,60
A Pair of Silk Stockings,1918,Comedy,60
A Romance of Happy Valley,1919,Drama,76
Shifting Sands,1918,Drama,60
Charlot soldato,1918,Comedy,45
Stella Maris,1918,Drama,84
Tarzan of the Apes,1918,Action,73
Tih Minh,1918,Adventure,418
The Unbeliever,1918,Drama,80
The Whispering Chorus,1918,Drama,86
Anders als die Andern,1919,Crime,50
Ravished Armenia,1919,Drama,80
La principessa delle ostriche,1919,Comedy,60
El automóvil gris,1919,Action,223
Il ritorno al paradiso terrestre,1919,Adventure,73
Behind the Door,1919,Drama,70
Mariti ciechi,1919,Drama,99
Giglio infranto,1919,Drama,90
The Busher,1919,Drama,63
Daddy-Long-Legs,1919,Comedy,85
The Delicious Little Devil,1919,Comedy,63
Don't Change Your Husband,1919,Comedy,71
Eyes of Youth,1919,Drama,78
For Better for Worse,1919,Drama,70
Getting Mary Married,1919,Comedy,65
The Greatest Question,1919,Drama,80
The Grim Game,1919,Adventure,71
Harakiri,1919,Drama,80
Hawthorne of the U.S.A.,1919,Adventure,57
Heart o' the Hills,1919,Drama,87
Il tesoro di Arne,1919,Drama,122
The Hoodlum,1919,Comedy,78
Non vorrei essere un uomo,1918,Comedy,45
Ingmarssönerna,1919,Drama,207
Per la patria,1919,Drama,166
Il gabinetto del dottor Caligari,1920,Fantasy,76
Male and Female,1919,Adventure,116
Meyer il berlinese,1919,Comedy,58
The Miracle Man,1919,Drama,80
The Mother and the Law,1919,Drama,95
Die Pest in Florenz,1919,Drama,92
Præsidenten,1919,Drama,75
La bambola di carne,1919,Comedy,66
The Roaring Road,1919,Comedy,58
Scarlet Days,1919,Adventure,77
The Sentimental Bloke,1919,Drama,106
Il lago d'oro ovvero I ragni,1919,Adventure,81
Il canto del fiore rosso,1919,Drama,145
Amore sulle labbra,1919,Comedy,87
Un affare misterioso,1919,Fantasy,112
Victory,1919,Drama,62
Wagon Tracks,1919,Western,64
Quando le nuvole volano via,1919,Action,85
The Wicked Darling,1919,Drama,59
Yankee Doodle in Berlin,1919,Comedy,58
Algol - Tragödie der Macht,1920,Fantasy,99
Anna Bolena,1920,Biography,100
April Folly,1920,Drama,50
L'atlantide,1921,Adventure,136
Pagine dal libro di Satana,1920,Drama,167
Dr. Jekyll e Mr. Hyde,1920,Drama,69
Erotikon,1920,Comedy,106
Fante-Anne,1920,Crime,93
The Flapper,1920,Comedy,88
Il cammino nella notte,1921,Drama,81
Genuine,1920,Horror,88
Il Golem - Come venne al mondo,1920,Fantasy,76
Headin' Home,1920,Biography,71
L'Hirondelle et la Mésange,1924,Drama,80
La giustizia del mare,1920,Drama,86
Humoresque,1920,Drama,60
L'uomo dal coltello a serramanico,1920,Drama,60
Just Pals,1920,Comedy,50
Der Klosterjäger,1920,Drama,70
Klostret i Sendomir,1920,Drama,54
Due sorelle,1920,Comedy,64
The Last of the Mohicans,1920,Action,73
The Love Expert,1920,Comedy,60
The Love Flower,1920,Drama,70
Il segno di Zorro,1920,Adventure,79
Markens grøde,1921,Drama,107
Un pulcino nella stoppa,1920,Adventure,86
Nomads of the North,1920,Drama,109
Pollyanna,1920,Family,58
La vedova del pastore,1920,Comedy,94
The Restless Sex,1920,Drama,70
Romeo e giulietta sulla neve,1920,Comedy,45
The Round-Up,1920,Comedy,70
The Saphead,1920,Comedy,77
Sex,1920,Drama,87
Something to Think About,1920,Drama,78
Die Spinnen 2. Teil - Das Brillantenschiff,1920,Adventure,104
Suds,1920,Comedy,75
Sumurum,1920,Adventure,84
Terror Island,1920,Mystery,55
The Toll Gate,1920,Adventure,73
Von morgens bis mitternachts,1920,Drama,65
Das wandernde Bild,1920,Romance,67
Agonia sui ghiacci,1920,Drama,145
Why Change Your Wife?,1920,Comedy,90
Within Our Gates,1920,Drama,79
The Ace of Hearts,1921,Crime,75
Adventures of Tarzan,1921,Action,73
Fragilità sei femmina!,1921,Comedy,117
Be My Wife,1921,Comedy,55
Lo scoiattolo,1921,Comedy,79
The Blot,1921,Drama,91
Buried Treasure,1921,Adventure,70
Camille,1921,Drama,72
La commedia umana,1921,Drama,89
Dream Street,1921,Comedy,102
